defined_class	defined_class_name	part_of	part_of_label
PLANA:0002047	pharynx inner epidermal cell	PLANA:0004528	pharynx epithelium
PLANA:0002048	inner zone of gland cells	PLANA:0000016	pharynx
PLANA:0002055	mechanosensory neuron	PLANA:0000080	peripheral nervous system
PLANA:0002055	mechanosensory neuron	PLANA:0000125	sensory system
PLANA:0002056	medial muscle cell	PLANA:0000079	parenchymal musculature
PLANA:0002058	melanosome	PLANA:0000031	pigment cup cell
PLANA:0002059	mucus	PLANA:0000484	secretory system
PLANA:0002060	nephridiopore	PLANA:0000065	flame cell
PLANA:0002061	neurite	PLANA:0000099	neuron
PLANA:0002062	neuropeptidergic neuron	PLANA:0000103	central nervous system
PLANA:0002062	neuropeptidergic neuron	PLANA:0000080	peripheral nervous system
PLANA:0002062	neuropeptidergic neuron	PLANA:0007565	asexual organism
PLANA:0002063	non-ciliated epidermis	PLANA:0004529	integumental system
PLANA:0002065	nuclear inner membrane	PLANA:0002064	nuclear envelope
PLANA:0002066	nuclear lumen	PLANA:0000529	nucleus
PLANA:0002067	nuclear outer membrane	PLANA:0002064	nuclear envelope
PLANA:0002068	nuclear periphery	PLANA:0000529	nucleus
PLANA:0002070	optic nerve	PLANA:0000124	visual system
PLANA:0002070	optic nerve	PLANA:0000025	nervous system
PLANA:0002071	pharynx outer epidermal cell	PLANA:0004528	pharynx epithelium
PLANA:0002074	pharynx tip	PLANA:0000016	pharynx
PLANA:0002076	pigment granule	PLANA:0002075	pigment cell
PLANA:0002080	post-meiotic germ cell	PLANA:0000204	ovary
PLANA:0002080	post-meiotic germ cell	PLANA:0000208	testis
PLANA:0002081	postsynaptic cell	PLANA:0000025	nervous system
PLANA:0002081	postsynaptic cell	PLANA:0007565	asexual organism
PLANA:0002082	premeiotic germ cell	PLANA:0000204	ovary
PLANA:0002082	premeiotic germ cell	PLANA:0000208	testis
PLANA:0002083	presynaptic cell	PLANA:0000025	nervous system
PLANA:0002083	presynaptic cell	PLANA:0007565	asexual organism
PLANA:0002084	presynaptic terminal	PLANA:0002008	axon
PLANA:0002084	presynaptic terminal	PLANA:0002083	presynaptic cell
PLANA:0002085	presynaptic vesicle	PLANA:0002083	presynaptic cell
PLANA:0002087	primitive gut	PLANA:0000058	embryonic digestive system
PLANA:0002089	reproductive organ	PLANA:0000126	reproductive system
PLANA:0002091	rhabdome	PLANA:0000036	eye
PLANA:0002092	rhabdomere	PLANA:0000017	photoreceptor neuron
PLANA:0002093	secretory duct	PLANA:0000484	secretory system
PLANA:0002094	secretory granule	PLANA:0000105	secretory cell
PLANA:0002096	somatic gonadal cell	PLANA:0000217	gonad
PLANA:0002098	stalk	PLANA:0000216	egg capsule
PLANA:0002100	synapse	PLANA:0000099	neuron
PLANA:0002101	synaptic cleft	PLANA:0000099	neuron
PLANA:0002101	synaptic cleft	PLANA:0000540	electrically signaling cell
PLANA:0002101	synaptic cleft	PLANA:0000539	electrically responsive cell
PLANA:0002102	synaptic vesicle	PLANA:0000099	neuron
PLANA:0002103	synaptonemal complex	PLANA:0000529	nucleus
PLANA:0002105	telomere	PLANA:0002022	chromosome arm
PLANA:0002106	septate junction	PLANA:0002118	epithelium
PLANA:0002119	gut branch	PLANA:0000026	gut
PLANA:0002120	extraembryonic organ	PLANA:0000116	embryo
PLANA:0002121	chromosome part	PLANA:0002021	chromosome
PLANA:0002140	pharynx pouch epithelium	PLANA:0000081	pharynx pouch
PLANA:0002141	sperm duct epithelial surface	PLANA:0004533	sperm duct epithelium
PLANA:0004506	testis somatic gonadal cell	PLANA:0000208	testis
PLANA:0004507	ovarian somatic gonadal cell	PLANA:0000204	ovary
PLANA:0004512	primitive ectoderm surface	PLANA:0000029	primitive ectoderm
PLANA:0004513	primtive gut cell surface	PLANA:0000085	primitive gut cell
PLANA:0004514	embryonic gut cell surface	PLANA:0000059	embryonic gut cell
PLANA:0004516	embryonic pharynx lumen epithelial surface	PLANA:0000023	embryonic pharynx
PLANA:0004517	blastomere	PLANA:0000056	ectolecithal embryo
PLANA:0004519	embryonic pharynx neuron	PLANA:0000023	embryonic pharynx
PLANA:0004520	embryonic pharynx radial muscle cell	PLANA:0000023	embryonic pharynx
PLANA:0004521	embryonic pharynx epithelial cell	PLANA:0000023	embryonic pharynx
PLANA:0004524	embryonic pharynx circular muscle cell	PLANA:0000023	embryonic pharynx
PLANA:0004528	pharynx epithelium	PLANA:0000016	pharynx
PLANA:0004529	integumental system	PLANA:0007565	asexual organism
PLANA:0004529	integumental system	PLANA:0007564	sexual organism
PLANA:0004530	oviduct lumen	PLANA:0000205	oviduct
PLANA:0004531	sperm duct lumen	PLANA:0000207	sperm duct
PLANA:0004532	oviduct epithelium	PLANA:0000205	oviduct
PLANA:0004533	sperm duct epithelium	PLANA:0000207	sperm duct
PLANA:0004534	tuba lumen	PLANA:0000230	tuba
PLANA:0007516	nuclear pore	PLANA:0000529	nucleus
PLANA:0007528	glial cell	PLANA:0000470	neuropil
PLANA:0007529	ganglion	PLANA:0000080	peripheral nervous system
PLANA:0007529	ganglion	PLANA:0000103	central nervous system
PLANA:0007534	pharynx inner epithelium	PLANA:0000016	pharynx
PLANA:0007535	pharynx circular muscle cell	PLANA:0000478	pharynx musculature
PLANA:0007538	adhesion gland	PLANA:0000484	secretory system
PLANA:0007539	anchor cell	PLANA:0007538	adhesion gland
PLANA:0007540	viscid gland cell	PLANA:0007538	adhesion gland
PLANA:0007541	releasing gland cell	PLANA:0007538	adhesion gland
PLANA:0007543	TrpA+ central nervous system neuron	PLANA:0007565	asexual organism
PLANA:0007543	TrpA+ central nervous system neuron	PLANA:0000044	cephalic ganglia
PLANA:0007544	cintillo+ sensory neuron	PLANA:0000080	peripheral nervous system
PLANA:0007546	TrpA+ neural progenitor cell	PLANA:0000080	peripheral nervous system
PLANA:0007546	TrpA+ neural progenitor cell	PLANA:0000103	central nervous system
PLANA:0007548	transverse commissure	PLANA:0000097	ventral nerve cord
PLANA:0007548	transverse commissure	PLANA:0000103	central nervous system
PLANA:0007550	serotonergic neural progenitor cell	PLANA:0007565	asexual organism
PLANA:0007550	serotonergic neural progenitor cell	PLANA:0000080	peripheral nervous system
PLANA:0007550	serotonergic neural progenitor cell	PLANA:0000103	central nervous system
PLANA:0007551	klf+ sensory neuron progenitor cell	PLANA:0007565	asexual organism
PLANA:0007551	klf+ sensory neuron progenitor cell	PLANA:0000080	peripheral nervous system
PLANA:0007552	nu neoblast	PLANA:0000025	nervous system
PLANA:0007553	lateral nerve	PLANA:0000080	peripheral nervous system
PLANA:0007553	lateral nerve	PLANA:0007565	asexual organism
PLANA:0007555	pax3/7+ neural progenitor cell	PLANA:0000103	central nervous system
PLANA:0007556	embryonic pharynx lumen	PLANA:0000023	embryonic pharynx
PLANA:0007557	testis nerve plexus	PLANA:0000126	reproductive system
PLANA:0007559	ovary nerve plexus	PLANA:0000126	reproductive system
PLANA:0007563	glutamatergic neuron	PLANA:0000103	central nervous system
PLANA:0007563	glutamatergic neuron	PLANA:0000080	peripheral nervous system
PLANA:0007563	glutamatergic neuron	PLANA:0007565	asexual organism
PLANA:0007568	guidepost cell	PLANA:0003102	visual system
