defined_class	defined_class_name	exact_syn	dbxref
PLANA:0000103	central nervous system	CNS|head-restricted nervous system	PMID:28126842|PMID:26711341|PMID:21282632|PMID:28807897|PMID:27800171|https://doi.org/10.1101/279364|PMID:16344473|PMID:23318635|PMID:28976975|PMID:21295481|PMID:25493551|PMID:19933103|PMID:24704339|PMID:24950970|PMID:27864883|PMID:25772472|PMID:27612384|PMID:30962434|PMID:24737865|PMID:21828097|PMID:21806978|PMID:18202849|PMID:24173799|PMID:17553481|PMID:17670787|PMID:22427692|PMID:21664348|PMID:26459857|PMID:22439894|PMID:17905225|PMID:24367277|PMID:16033796|PMID:27150006|PMID:26017970|PMID:23903188|PMID:23297191|PMID:22125640|PMID:22411224|PMID:16890156|PMID:17251262|PMID:29291981|PMID:27240733|PMID:17942485|PMID:25956527|PMID:27523733|PMID:27163480|PMID:30399335|PMID:18287199|PMID:21458439|PMID:20967238|PMID:19247960|PMID:28434803|PMID:30729158|PMID:22252539|PMID:27013241|PMID:27074666|PMID:28461239|PMID:22385657|PMID:24173799|PMID:27542689|PMID:27612382|PMID:27068018|PMID:29273738|PMID:23318641|PMID:27063937|PMID:16033796|PMID:30471994|PMID:24063805|PMID:22445864|PMID:18063757|PMID:24922054|PMID:25356635|PMID:22339734|PMID:26884331|PMID:20865784|PMID:19174194
PLANA:0000044	cephalic ganglia	bi-lobed brain|bi-lobed cephalic ganglia|brain|cerebral ganglia	PMID:29291981|PMID:20422023|PMID:25956527|PMID:17942485|PMID:18287199|PMID:27163480|PMID:29547123|PMID:20967238|PMID:19247960|PMID:23405188|PMID:21458439|PMID:22549959|PMID:30194301|PMID:20844018|PMID:28072387|PMID:23235145|PMID:29291974|ISBN:9780070316607|PMID:27074666|PMID:27013241|PMID:17376870|PMID:21566195|PMID:24173799|PMID:27612382|PMID:19211673|PMID:24238224|PMID:23318641|PMID:16033796|PMID:22445864|PMID:18063757|PMID:19174194|PMID:25254346|PMID:25356635|PMID:25725068|PMID:23652002|PMID:22339734|PMID:26884331|PMID:28126842|PMID:19766622|PMID:27800171|https://doi.org/10.1101/279364|PMID:21282632|PMID:23318635|PMID:16344473|PMID:28287248|PMID:21295481|PMID:22451003|PMID:25772472|PMID:24950970|PMID:20215344|PMID:25404302|PMID:27612384|PMID:21806978|PMID:18202849|PMID:24131630|PMID:24173799|PMID:18063755|PMID:17553481|PMID:17670787|PMID:30237141|PMID:17905225|PMID:28216315|PMID:24415944|PMID:15866156|PMID:16033796|PMID:20422023|PMID:26017970|PMID:23297191|PMID:25278423|PMID:22074376|PMID:22125640|PMID:21179478|PMID:29674431|PMID:17251262|PMID:22411224|PMID:16890156|PMID:19048075
PLANA:0000463	cholinergic neuron	acetylcholinergic neuron	PMID:24173799|PMID:21566185|PMID:24173799|PMID:26525673|PMID:28126842|PMID:24131630|PMID:29291981|PMID:28137894|PMID:27163480|PMID:27612382|PMID:30143032|PMID:30194301|PMID:23903188|PMID:23652002|PMID:25356635|PMID:27864883|PMID:24950970
PLANA:0000106	ciliated epithelial cell	ciliated epidermal cell	PMID:28807897|PMID:28461239|PMID:24737865
PLANA:0000503	cilium	cilia	PMID:24950970|PMID:21179478|ISBN:9780070316607|PMID:23144623|PMID:23235145|PMID:19048075|PMID:23250205|PMID:23318641|PMID:19933103|PMID:27609598|PMID:25017721|PMID:22223737|PMID:26912790|PMID:26057828|PMID:24523458|PMID:27068018|PMID:21937596|PMID:15866156|PMID:21295481|PMID:30399335|PMID:24131630|PMID:21828097|PMID:26711341|PMID:21282632|PMID:28292427|PMID:19852954
PLANA:0007544	cintillo+ sensory neuron	cintillo+ neuron	PMID:29674431|PMID:25254346
PLANA:0000046	clonogenic neoblast	adult pluripotent stem cell|cNeoblast|clonogenic stem cell|pluripotent stem cell	PMID:27150006|PMID:22899852|PMID:27502555|PMID:21937596|PMID:22385657|PMID:22884275|PMID:24173799|PMID:21566185|PMID:27551436|PMID:29674431|PMID:21852957|PMID:25254346|PMID:25356635|PMID:22411224|PMID:29357350|PMID:23652002|PMID:24040508|PMID:22543868|PMID:27063937|PMID:23318641|PMID:25017721|PMID:22318224|PMID:23297191|PMID:27523733|PMID:16344473|PMID:24120894|PMID:27149082|PMID:26711341|PMID:20215344|PMID:27074666|PMID:30962434|PMID:19247960|PMID:29674432|PMID:23079596|PMID:29906446|PMID:22549959|PMID:28434803|PMID:23954785
PLANA:0000047	collecting duct		PMID:29674431|PMID:26057828|PMID:27068018
PLANA:0000547	commissural neuron		PMID:22339734
PLANA:0000232	copulatory apparatus	copulatory complex	PMID:20967238|PMID:17376870|PMID:19247960|PMID:27149082|PMID:17390146|PMID:28434803|PMID:16344473|ISBN:9780070316607|PMID:22074376|PMID:27163480|PMID:23652002
PLANA:0000510	cytoplasm		PMID:16890156|PMID:28976975
