?cls	?xref
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22549959"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21295483"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:30485821"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24415944"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21295481"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26457503"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29357350"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28216315"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27551436"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27150006"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23235145"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:18456843"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25956527"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20223763"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24992682"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25558068"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25254346"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28287248"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26017970"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29547123"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20967238"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28292427"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29158443"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28976975"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23405188"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29291981"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26525673"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23318641"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21566185"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:16311336"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:16890156"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22411224"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20707997"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26062938"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27034770"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19805089"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:20422023"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:17251262"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27063937"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28686611"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:18287199"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21806978"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24737865"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29291974"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:23297191"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25772472"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:17942485"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26884331"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:29273738"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24704339"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:18063757"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:22125640"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28893948"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:26556349"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21179478"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:30282036"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:25725068"
